hhnum,food_insecure_flag_adult,adltfscat,foodsufficient,poverty_ratio,poverty_band,snap_any,foodpantry,household_size,num_adults,num_children,num_elderly,employed_adults,any_employed_adult,head_age,head_sex,head_hispanic,head_racecat,head_educcat,head_employment,region,rural,nonmetro,anyvehicle,vehiclenum,caraccess,dist_sm,dist_cs,dist_walmart,nearsnap_dist,nearff_dist,nearnonff_dist,fah_event_count,fah_storetype_unique,fafh_event_count,fafh_schoolmeal_events,targetgroup,hhwgt
101020,0,1,1,5.819494778772899,>4.0 (higher),False,0,4,3,1,1,2,1,85.0,2,0,1,4.0,5,4,0,0,1,3,-996,1.23,0.92,5.24,0.92,0.93,0.23,7.0,0.0,9.0,0.0,3,64586.6726413781
101024,1,4,1,0.462722863033444,<=1.0 (at/below poverty),True,0,2,1,1,0,0,0,27.5,2,0,2,3.0,3,3,0,1,0,-996,-996,0.82,0.13,22.16,0.13,0.82,0.17,2.0,0.0,2.0,0.0,4,7514.05314903532
101031,0,1,2,1.79325842696629,1.3-2.0 (low income),False,0,2,2,0,1,0,0,62.5,2,0,2,4.0,5,4,0,0,0,-996,1,0.14,0.15,0.28,0.03,0.2,0.05,3.0,0.0,13.0,0.0,2,4235.33501812828
101036,1,3,2,1.73060145406477,1.3-2.0 (low income),False,0,2,2,0,0,0,0,47.5,1,0,1,4.0,5,3,1,0,1,1,-996,5.06,1.99,3.29,1.87,3.32,1.99,2.0,0.0,0.0,0.0,4,1818.42308906906
101046,0,2,1,2.39132251626898,2.0-4.0 (moderate),True,0,4,2,2,0,1,1,47.5,2,0,2,4.0,5,1,0,0,1,2,-996,1.54,0.53,1.45,0.17,0.11,0.03,6.0,0.0,32.0,3.0,3,59178.2561147083
101050,1,4,3,0.0,<=1.0 (at/below poverty),False,0,1,1,0,0,0,0,62.5,2,0,2,5.0,3,2,0,0,0,-996,-996,0.85,0.19,1.82,0.16,0.55,0.18,7.0,0.0,0.0,0.0,4,46016.8426684961
101056,0,1,2,0.859444941808415,<=1.0 (at/below poverty),False,0,1,1,0,0,1,1,47.5,1,0,2,4.0,1,2,0,0,1,1,-996,1.23,0.19,0.96,0.18,0.12,0.2,3.0,0.0,4.0,0.0,1,27963.3043049373
101057,1,4,2,0.497593483894854,<=1.0 (at/below poverty),True,0,5,2,3,0,2,1,27.5,2,0,1,3.0,1,3,1,0,0,-996,-996,8.38,4.67,7.81,1.57,4.14,1.38,2.0,0.0,12.0,8.0,1,11237.8575692254
101061,0,1,1,5.762855254461329,>4.0 (higher),False,0,2,2,0,0,2,1,27.5,1,0,1,5.0,1,3,0,0,1,2,-996,0.88,0.52,0.96,0.52,0.49,0.08,1.0,0.0,4.0,0.0,3,58414.8729159051
101062,1,3,3,0.9605606812291739,<=1.0 (at/below poverty),False,0,5,3,2,0,3,1,47.5,2,1,1,2.0,1,4,0,0,1,1,1,0.11,0.05,3.41,0.05,0.11,0.11,4.0,0.0,16.0,0.0,1,2341.63783771639
101063,1,3,2,0.8171817705605029,<=1.0 (at/below poverty),True,0,3,2,1,0,1,1,47.5,2,0,1,4.0,5,2,0,0,1,2,-996,3.79,0.5,2.37,0.47,0.3,0.47,8.0,0.0,16.0,0.0,4,72499.1063585464
101078,0,1,1,1.9676160045967002,1.3-2.0 (low income),False,0,2,2,0,1,0,0,85.0,2,0,1,4.0,5,4,0,0,1,2,-996,1.36,0.22,1.92,0.16,0.44,0.13,3.0,0.0,0.0,0.0,3,4931.84812430747
101081,1,3,2,0.607913419219653,<=1.0 (at/below poverty),True,0,2,1,1,0,1,1,27.5,2,0,1,3.0,1,4,0,0,1,1,-996,1.64,0.62,2.96,0.41,0.62,0.38,1.0,0.0,9.0,1.0,4,2461.37629855608
